
Rmag	          Bmag	  (B-R)	Speak	Sint
1.218010043	1.243781916	1.01	2.65	3.21
1.242044239	1.282395505	1.7	5.73	5.63
1.249687428	1.272073788	0.94	6.62	7.2
1.241795431	1.253095586	0.47	98.64	229.85
1.216429831	1.255272505	1.54	13.96	14.22
1.215108581	1.231724383	0.64	21.6	22.76
1.22762965	1.235023159	0.29	6.16	6.57
1.176669933	1.190331698	0.48	10.93	10.79
1.217220656	1.227115083	0.38	391.6	656.16
1.240299582	1.256958153	0.68	6.65	6.58
1.228656958	1.238046103	0.37	29.02	32.92
1.197280558	1.208978517	0.43	187.17	190.31
1.230448921	1.259832699	1.2	122.66	130.32
1.217483944	1.23350376	0.62	61.74	63.2
1.243038049	1.260309946	0.7	1.4	1.07
1.240049772	1.250175948	0.4	6.75	6.75
1.246990699	1.284656283	1.6	16.71	18.14
1.23350376	1.250663919	0.7	4.1	3.98
1.231214648	1.259354927	1.14	1.53	1.41
1.239799818	1.259832699	0.82	2.22	2.01
1.205475037	1.230448921	0.94	1855.8	1952.59
1.182129214	1.216165902	1.24	2.03	1.46
1.236285277	1.239299479	0.12	61.67	63.84
1.238297068	1.242044239	0.15	16.29	17.24
1.211120541	1.234517284	0.9	6.24	5.57
1.243534102	1.265760917	0.92	6.32	6.59
1.249687428	1.270212855	0.86	2.23	2.07
1.245759356	1.258637283	0.53	1.22	1.37
1.242541428	1.256236533	0.56	8.07	8.13
1.221414238	1.230193379	0.34	1.66	1.95
1.248708736	1.264109156	0.64	1.95	2.13
1.213252052	1.219322508	0.23	19.15	22.04
1.219846386	1.229681842	0.39	1372.84	1417.99
1.200576927	1.231214648	1.16	2.61	2.9
1.244277121	1.232487866	-0.47	2.15	1.78
1.224274014	1.239799818	0.62	8.69	8.67
1.243286146	1.249442961	0.25	183.25	188.85
1.212720154	1.217220656	0.17	2.02	2.23
1.226084116	1.243286146	0.68	1.46	0.82
1.244029589	1.250175948	0.26	39.84	41.56
1.235275877	1.24674471	0.45	4.35	7.59
1.208441356	1.212720154	0.16	3.86	5.69
1.203032887	1.221414238	0.69	6.87	8.32
1.213517757	1.230704314	0.66	1.49	2.81
1.225825991	1.273001272	1.93	6.54	6.42
1.190611798	1.200850498	0.37	315.34	323.78
1.215108581	1.225825991	0.42	2.42	1.99
1.237040791	1.255031163	0.73	1.18	1.89
1.202215776	1.222716471	0.77	93.78	97.85
1.172310969	1.203032887	1.09	3.5	3.68
1.245018871	1.257678575	0.52	2.66	2.54
1.240549248	1.256477206	0.66	3.7	3.72
1.241795431	1.271609301	1.24	1.14	2.65
1.209783015	1.226342087	0.63	1.09	0.74
1.237292338	1.249687428	0.5	510.65	547.28
1.237292338	1.245512668	0.33	16.25	16.97
1.24674471	1.284430734	1.59	1.12	1.15
1.250420002	1.270678836	0.85	56.64	65.61
1.213517757	1.226084116	0.48	30.16	32.36
1.244524512	1.259115844	0.6	1.44	2.18
1.220108088	1.234264124	0.55	1.88	1.23
1.234010818	1.254548077	0.82	77.07	132.09
1.224014811	1.269746373	1.86	2.36	2.93
1.248218561	1.263872677	0.65	70.33	73.42
1.229681842	1.239799818	0.41	1.37	0.76
1.242789809	1.248463718	0.23	60.91	61.78
1.215373153	1.22297645	0.29	1.76	1.6
1.229681842	1.252610341	0.92	2.05	2.1
1.240299582	1.249198357	0.36	43.38	44.17
1.246498581	1.264817823	0.76	690.34	716.97
1.245018871	1.266936911	0.91	10.8	14.08
